upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0.3,DS Juv = 0.4,MAT,67120216.8838147,47308586.625,88002818.975,550
0,0.3,DS Juv = 0.4,NNE,819261533.171108,598316492.55,1065998529.7,868
0,0.3,DS Juv = 0.4,SNE,6730367.79379836,4730218.7,9235715.475,138
0,0.3,DS Juv = 0.5,MAT,68446700.2395487,47722793.275,87885712.2,537
0,0.3,DS Juv = 0.5,NNE,808754690.435317,581056004.7,1048407110.1,802
0,0.3,DS Juv = 0.5,SNE,7009976.33917552,4766762.75,8890665.1,145
0,0.3,DS Juv = 0.6,MAT,67529419.1648436,47471203.75,88976185.9,552
0,0.3,DS Juv = 0.6,NNE,833176041.346357,605867616.55,1050689258.9,822
0,0.3,DS Juv = 0.6,SNE,6796580.14686303,5018208.6,9011385.125,161
0,0.3,DS Juv = 0.7,MAT,67810049.1880409,49925430.725,86946218.55,498
0,0.3,DS Juv = 0.7,NNE,818791041.755729,584298897.325,1070922996.35,783
0,0.3,DS Juv = 0.7,SNE,6796307.33790332,4604290.6,8930103.6,116
0,0.3,DS Juv = 0.8,MAT,69374363.8268665,48812393.3,90193329.125,539
0,0.3,DS Juv = 0.8,NNE,831698972.12447,590167935.375,1060420528.275,868
0,0.3,DS Juv = 0.8,SNE,7062188.57491334,4775360.7,9606542.925,142
0,0.3,DS Juv = 0.9,MAT,66867800.4007349,47862226.275,84882393.55,463
0,0.3,DS Juv = 0.9,NNE,808386034.08036,598538000.95,1047773609.375,817
0,0.3,DS Juv = 0.9,SNE,6808688.8044302,4327526.55,8902762.65,119
0,0.3,DS Juv = 1,MAT,67651143.8242537,48297481.7,88639667.975,531
0,0.3,DS Juv = 1,NNE,816799353.084398,563988621.375,1087372941.65,868
0,0.3,DS Juv = 1,SNE,6964996.76074303,4873663.75,9118876.55,107
0,0.4,DS Juv = 0,MAT,68780787.2318555,48860712.675,91035623.05,537
0,0.4,DS Juv = 0,NNE,794212507.907225,539357372.175,979529878.025,808
0,0.4,DS Juv = 0,SNE,6721591.74651638,4483447.875,8890951.725,135
0,0.4,DS Juv = 0.1,MAT,68504468.6574279,50268733.775,89030852.95,560
0,0.4,DS Juv = 0.1,NNE,821075324.352032,605765130.85,1055439320.15,777
0,0.4,DS Juv = 0.1,SNE,7044057.30366103,5099826.3,8851222.175,134
0,0.4,DS Juv = 0.2,MAT,67954291.5267033,48263785.525,91001417.85,546
0,0.4,DS Juv = 0.2,NNE,822831833.444601,591125420.025,1069426244.175,870
0,0.4,DS Juv = 0.2,SNE,6801356.52108919,4961691.15,8615653.125,149
0,0.4,DS Juv = 0.3,MAT,67764072.3501033,47814574.725,89319139.825,513
0,0.4,DS Juv = 0.3,NNE,836115221.086176,591371614.9,1078077955.675,798
0,0.4,DS Juv = 0.3,SNE,6676666.19225218,4227731.75,8926995.275,128
0,0.4,DS Juv = 0.4,MAT,68083330.1356199,46765526.025,89806829.625,525
0,0.4,DS Juv = 0.4,NNE,823562638.347985,602366807.625,1052448486.425,848
0,0.4,DS Juv = 0.4,SNE,6892098.84089731,4253364.8,9170507.825,149
0,0.4,DS Juv = 0.5,MAT,69013751.782184,50485214.75,90607201.625,529
0,0.4,DS Juv = 0.5,NNE,797482165.611043,542786015.75,1043856042.3,873
0,0.4,DS Juv = 0.5,SNE,6845910.7994453,5003873.7,9192393.15,146
0,0.4,DS Juv = 0.6,MAT,68275153.2340865,50133297.775,89562892.475,532
0,0.4,DS Juv = 0.6,NNE,813455642.558907,574893262.975,1061863383.675,836
0,0.4,DS Juv = 0.6,SNE,6999874.39668396,4946445.525,8950061.975,121
0,0.4,DS Juv = 0.7,MAT,67972067.0076146,48239540.275,88118916.825,516
0,0.4,DS Juv = 0.7,NNE,813522032.136816,587191936.1,1025431291.225,795
0,0.4,DS Juv = 0.7,SNE,6950411.33335544,4790061.075,9109871.075,150
0,0.4,DS Juv = 0.8,MAT,68354423.788565,48205387.55,88049258.45,522
0,0.4,DS Juv = 0.8,NNE,833801687.424772,615376364.625,1045949097.85,777
0,0.4,DS Juv = 0.8,SNE,6760066.37393992,4988415.35,9163865.725,135
