upstream,downstream,downstream_j,pop,lwr,upr,samp
0,0.9,DS Juv = 0.7,909260838,653151972.525,1206079811.925,1506
0,0.9,DS Juv = 0.8,897783289.5,667576248.275,1159823997.8,1480
0,0.9,DS Juv = 0.9,887647917.5,635964858.75,1183941379.725,1521
0,0.9,DS Juv = 1,897316129,654178662.85,1139670308.15,1495
0,1,DS Juv = 0,880447262.5,635227883.675,1163009471.675,1531
0,1,DS Juv = 0.1,889077715.5,676887006.525,1149807117.225,1483
0,1,DS Juv = 0.2,896838126.5,640185808.675,1172910544.05,1455
0,1,DS Juv = 0.3,868909740.5,596022629.925,1155860199.875,1476
0,1,DS Juv = 0.4,877056987,607902864.325,1124798381.3,1482
0,1,DS Juv = 0.5,899512866,659733875.2,1195936862.775,1510
0,1,DS Juv = 0.6,900492643,644306263.3,1127166055.275,1522
0,1,DS Juv = 0.7,903405096.5,610829749.025,1168204480.6,1535
0,1,DS Juv = 0.8,890747551,652394996.825,1178115153.05,1572
0,1,DS Juv = 0.9,902237933,634841124.875,1179948834.975,1451
0,1,DS Juv = 1,899205200.5,653787809.95,1142023404.75,1508
0.1,0,DS Juv = 0,877373042,606420605.975,1126304199.325,1468
0.1,0,DS Juv = 0.1,886206757.5,618034788.275,1153918377.475,1604
0.1,0,DS Juv = 0.2,884575644,635178487.5,1159053859.1,1558
0.1,0,DS Juv = 0.3,871198761,615456188.05,1145940672.95,1549
0.1,0,DS Juv = 0.4,854886423,634410725.65,1112349561.25,1447
0.1,0,DS Juv = 0.5,877907867.5,652038420.95,1137047113.6,1517
0.1,0,DS Juv = 0.6,880726959,603035017.75,1143569676.175,1453
0.1,0,DS Juv = 0.7,884767016.5,616727616.875,1146096885.425,1435
0.1,0,DS Juv = 0.8,897374426.5,615376569.625,1141327329.025,1451
0.1,0,DS Juv = 0.9,879929887.5,642249929.45,1166549552.75,1493
0.1,0,DS Juv = 1,877861203.5,622453092.55,1146114859.7,1524
0.1,0.1,DS Juv = 0,880811100.5,659467092.55,1162197348.275,1480
0.1,0.1,DS Juv = 0.1,888871304,658713425.55,1132373061.075,1533
0.1,0.1,DS Juv = 0.2,871778083.5,628458271.75,1178993270.325,1437
0.1,0.1,DS Juv = 0.3,886961412.5,625334095.025,1112452343.375,1488
0.1,0.1,DS Juv = 0.4,886071034,631188672.375,1156458992.475,1544
0.1,0.1,DS Juv = 0.5,887362366.5,634814578.1,1150128229.275,1530
0.1,0.1,DS Juv = 0.6,882542587.5,666216071.175,1133106514.95,1467
0.1,0.1,DS Juv = 0.7,893902053.5,661381753.75,1164108742.25,1486
0.1,0.1,DS Juv = 0.8,891221471.5,645918795.4,1165120737.85,1577
0.1,0.1,DS Juv = 0.9,893068093,618861174.025,1135912947.15,1439
0.1,0.1,DS Juv = 1,867966394,599777545.9,1159657418.225,1470
